"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10914","checkoutTest","Parallel Test Suite","Tue Mar 03 21:02:51 UTC 2026","broken","Tue Mar 03 21:03:02 UTC 2026","com.lando.tests.CheckoutTest","Checkout Chrome test","com.lando.tests.CheckoutTest","checkoutTest"
"","676","successfulLoginTest","Parallel Test Suite","Tue Mar 03 21:02:53 UTC 2026","passed","Tue Mar 03 21:02:53 UTC 2026","com.lando.tests.LoginTest","Login Firefox test","com.lando.tests.LoginTest","successfulLoginTest"
"","1052","checkoutTest","Parallel Test Suite","Tue Mar 03 21:02:56 UTC 2026","passed","Tue Mar 03 21:02:57 UTC 2026","com.lando.tests.CheckoutTest","Checkout Firefox test","com.lando.tests.CheckoutTest","checkoutTest"
"","736","invalidLoginTest","Parallel Test Suite","Tue Mar 03 21:02:49 UTC 2026","passed","Tue Mar 03 21:02:49 UTC 2026","com.lando.tests.LoginTest","Login Firefox test","com.lando.tests.LoginTest","invalidLoginTest"
"","681","successfulLoginTest","Parallel Test Suite","Tue Mar 03 21:02:49 UTC 2026","passed","Tue Mar 03 21:02:50 UTC 2026","com.lando.tests.LoginTest","Login Chrome test","com.lando.tests.LoginTest","successfulLoginTest"
"","757","invalidLoginTest","Parallel Test Suite","Tue Mar 03 21:02:47 UTC 2026","passed","Tue Mar 03 21:02:48 UTC 2026","com.lando.tests.LoginTest","Login Chrome test","com.lando.tests.LoginTest","invalidLoginTest"
