"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10792","checkoutTest","Parallel Test Suite","Tue Mar 03 20:42:16 UTC 2026","broken","Tue Mar 03 20:42:27 UTC 2026","com.lando.tests.CheckoutTest","Checkout Chrome test","com.lando.tests.CheckoutTest","checkoutTest"
"","922","checkoutTest","Parallel Test Suite","Tue Mar 03 20:42:22 UTC 2026","passed","Tue Mar 03 20:42:22 UTC 2026","com.lando.tests.CheckoutTest","Checkout Firefox test","com.lando.tests.CheckoutTest","checkoutTest"
"","433","successfulLoginTest","Parallel Test Suite","Tue Mar 03 20:42:18 UTC 2026","passed","Tue Mar 03 20:42:19 UTC 2026","com.lando.tests.LoginTest","Login Firefox test","com.lando.tests.LoginTest","successfulLoginTest"
"","714","invalidLoginTest","Parallel Test Suite","Tue Mar 03 20:42:14 UTC 2026","passed","Tue Mar 03 20:42:15 UTC 2026","com.lando.tests.LoginTest","Login Firefox test","com.lando.tests.LoginTest","invalidLoginTest"
"","682","successfulLoginTest","Parallel Test Suite","Tue Mar 03 20:42:14 UTC 2026","passed","Tue Mar 03 20:42:15 UTC 2026","com.lando.tests.LoginTest","Login Chrome test","com.lando.tests.LoginTest","successfulLoginTest"
"","888","invalidLoginTest","Parallel Test Suite","Tue Mar 03 20:42:12 UTC 2026","passed","Tue Mar 03 20:42:13 UTC 2026","com.lando.tests.LoginTest","Login Chrome test","com.lando.tests.LoginTest","invalidLoginTest"
