"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10916","checkoutTest","Parallel Test Suite","Tue Mar 03 20:36:23 UTC 2026","broken","Tue Mar 03 20:36:34 UTC 2026","com.lando.tests.CheckoutTest","Checkout Chrome test","com.lando.tests.CheckoutTest","checkoutTest"
"","695","successfulLoginTest","Parallel Test Suite","Tue Mar 03 20:36:24 UTC 2026","passed","Tue Mar 03 20:36:25 UTC 2026","com.lando.tests.LoginTest","Login Firefox test","com.lando.tests.LoginTest","successfulLoginTest"
"","1122","invalidLoginTest","Parallel Test Suite","Tue Mar 03 20:36:20 UTC 2026","passed","Tue Mar 03 20:36:21 UTC 2026","com.lando.tests.LoginTest","Login Firefox test","com.lando.tests.LoginTest","invalidLoginTest"
"","953","checkoutTest","Parallel Test Suite","Tue Mar 03 20:36:28 UTC 2026","passed","Tue Mar 03 20:36:29 UTC 2026","com.lando.tests.CheckoutTest","Checkout Firefox test","com.lando.tests.CheckoutTest","checkoutTest"
"","587","successfulLoginTest","Parallel Test Suite","Tue Mar 03 20:36:21 UTC 2026","passed","Tue Mar 03 20:36:22 UTC 2026","com.lando.tests.LoginTest","Login Chrome test","com.lando.tests.LoginTest","successfulLoginTest"
"","1108","invalidLoginTest","Parallel Test Suite","Tue Mar 03 20:36:19 UTC 2026","passed","Tue Mar 03 20:36:20 UTC 2026","com.lando.tests.LoginTest","Login Chrome test","com.lando.tests.LoginTest","invalidLoginTest"
