"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","868","checkoutTest","Parallel Test Suite","Wed Feb 25 16:13:15 UTC 2026","passed","Wed Feb 25 16:13:16 UTC 2026","com.lando.tests.CheckoutTest","Checkout Firefox test","com.lando.tests.CheckoutTest","checkoutTest"
"","561","successfulLoginTest","Parallel Test Suite","Wed Feb 25 16:13:09 UTC 2026","passed","Wed Feb 25 16:13:09 UTC 2026","com.lando.tests.LoginTest","Login Chrome test","com.lando.tests.LoginTest","successfulLoginTest"
"","1020","invalidLoginTest","Parallel Test Suite","Wed Feb 25 16:13:08 UTC 2026","passed","Wed Feb 25 16:13:09 UTC 2026","com.lando.tests.LoginTest","Login Firefox test","com.lando.tests.LoginTest","invalidLoginTest"
"","395","successfulLoginTest","Parallel Test Suite","Wed Feb 25 16:13:13 UTC 2026","passed","Wed Feb 25 16:13:13 UTC 2026","com.lando.tests.LoginTest","Login Firefox test","com.lando.tests.LoginTest","successfulLoginTest"
"","1441","checkoutTest","Parallel Test Suite","Wed Feb 25 16:13:11 UTC 2026","passed","Wed Feb 25 16:13:12 UTC 2026","com.lando.tests.CheckoutTest","Checkout Chrome test","com.lando.tests.CheckoutTest","checkoutTest"
"","891","invalidLoginTest","Parallel Test Suite","Wed Feb 25 16:13:07 UTC 2026","passed","Wed Feb 25 16:13:08 UTC 2026","com.lando.tests.LoginTest","Login Chrome test","com.lando.tests.LoginTest","invalidLoginTest"
