"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","552","invalidLoginTest","Parallel Test Suite","Tue Mar 03 20:20:22 UTC 2026","passed","Tue Mar 03 20:20:22 UTC 2026","com.lando.tests.LoginTest","Login Firefox test","com.lando.tests.LoginTest","invalidLoginTest"
"","875","invalidLoginTest","Parallel Test Suite","Tue Mar 03 20:20:20 UTC 2026","passed","Tue Mar 03 20:20:21 UTC 2026","com.lando.tests.LoginTest","Login Chrome test","com.lando.tests.LoginTest","invalidLoginTest"
"","444","successfulLoginTest","Parallel Test Suite","Tue Mar 03 20:20:26 UTC 2026","passed","Tue Mar 03 20:20:26 UTC 2026","com.lando.tests.LoginTest","Login Firefox test","com.lando.tests.LoginTest","successfulLoginTest"
"","608","successfulLoginTest","Parallel Test Suite","Tue Mar 03 20:20:22 UTC 2026","passed","Tue Mar 03 20:20:23 UTC 2026","com.lando.tests.LoginTest","Login Chrome test","com.lando.tests.LoginTest","successfulLoginTest"
"","10789","checkoutTest","Parallel Test Suite","Tue Mar 03 20:20:24 UTC 2026","broken","Tue Mar 03 20:20:35 UTC 2026","com.lando.tests.CheckoutTest","Checkout Chrome test","com.lando.tests.CheckoutTest","checkoutTest"
"","900","checkoutTest","Parallel Test Suite","Tue Mar 03 20:20:29 UTC 2026","passed","Tue Mar 03 20:20:30 UTC 2026","com.lando.tests.CheckoutTest","Checkout Firefox test","com.lando.tests.CheckoutTest","checkoutTest"
