"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","955","invalidLoginTest","Parallel Test Suite","Thu Feb 26 15:52:59 UTC 2026","passed","Thu Feb 26 15:53:00 UTC 2026","com.lando.tests.LoginTest","Login Chrome test","com.lando.tests.LoginTest","invalidLoginTest"
"","712","successfulLoginTest","Parallel Test Suite","Thu Feb 26 15:53:02 UTC 2026","passed","Thu Feb 26 15:53:03 UTC 2026","com.lando.tests.LoginTest","Login Chrome test","com.lando.tests.LoginTest","successfulLoginTest"
"","10788","checkoutTest","Parallel Test Suite","Thu Feb 26 15:53:05 UTC 2026","broken","Thu Feb 26 15:53:16 UTC 2026","com.lando.tests.CheckoutTest","Checkout Chrome test","com.lando.tests.CheckoutTest","checkoutTest"
"","909","successfulLoginTest","Parallel Test Suite","Thu Feb 26 15:53:04 UTC 2026","passed","Thu Feb 26 15:53:05 UTC 2026","com.lando.tests.LoginTest","Login Firefox test","com.lando.tests.LoginTest","successfulLoginTest"
"","938","checkoutTest","Parallel Test Suite","Thu Feb 26 15:53:08 UTC 2026","passed","Thu Feb 26 15:53:09 UTC 2026","com.lando.tests.CheckoutTest","Checkout Firefox test","com.lando.tests.CheckoutTest","checkoutTest"
"","887","invalidLoginTest","Parallel Test Suite","Thu Feb 26 15:53:00 UTC 2026","passed","Thu Feb 26 15:53:01 UTC 2026","com.lando.tests.LoginTest","Login Firefox test","com.lando.tests.LoginTest","invalidLoginTest"
