"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","441","successfulLoginTest","Parallel Test Suite","Tue Mar 03 20:54:16 UTC 2026","passed","Tue Mar 03 20:54:17 UTC 2026","com.lando.tests.LoginTest","Login Firefox test","com.lando.tests.LoginTest","successfulLoginTest"
"","895","invalidLoginTest","Parallel Test Suite","Tue Mar 03 20:54:12 UTC 2026","passed","Tue Mar 03 20:54:13 UTC 2026","com.lando.tests.LoginTest","Login Firefox test","com.lando.tests.LoginTest","invalidLoginTest"
"","10874","checkoutTest","Parallel Test Suite","Tue Mar 03 20:54:15 UTC 2026","broken","Tue Mar 03 20:54:26 UTC 2026","com.lando.tests.CheckoutTest","Checkout Chrome test","com.lando.tests.CheckoutTest","checkoutTest"
"","889","checkoutTest","Parallel Test Suite","Tue Mar 03 20:54:20 UTC 2026","passed","Tue Mar 03 20:54:21 UTC 2026","com.lando.tests.CheckoutTest","Checkout Firefox test","com.lando.tests.CheckoutTest","checkoutTest"
"","530","successfulLoginTest","Parallel Test Suite","Tue Mar 03 20:54:13 UTC 2026","passed","Tue Mar 03 20:54:13 UTC 2026","com.lando.tests.LoginTest","Login Chrome test","com.lando.tests.LoginTest","successfulLoginTest"
"","951","invalidLoginTest","Parallel Test Suite","Tue Mar 03 20:54:11 UTC 2026","passed","Tue Mar 03 20:54:11 UTC 2026","com.lando.tests.LoginTest","Login Chrome test","com.lando.tests.LoginTest","invalidLoginTest"
