"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","892","checkoutTest","Parallel Test Suite","Tue Mar 03 20:18:33 UTC 2026","passed","Tue Mar 03 20:18:34 UTC 2026","com.lando.tests.CheckoutTest","Checkout Firefox test","com.lando.tests.CheckoutTest","checkoutTest"
"","461","successfulLoginTest","Parallel Test Suite","Tue Mar 03 20:18:29 UTC 2026","passed","Tue Mar 03 20:18:30 UTC 2026","com.lando.tests.LoginTest","Login Firefox test","com.lando.tests.LoginTest","successfulLoginTest"
"","10779","checkoutTest","Parallel Test Suite","Tue Mar 03 20:18:28 UTC 2026","broken","Tue Mar 03 20:18:38 UTC 2026","com.lando.tests.CheckoutTest","Checkout Chrome test","com.lando.tests.CheckoutTest","checkoutTest"
"","869","invalidLoginTest","Parallel Test Suite","Tue Mar 03 20:18:23 UTC 2026","passed","Tue Mar 03 20:18:24 UTC 2026","com.lando.tests.LoginTest","Login Chrome test","com.lando.tests.LoginTest","invalidLoginTest"
"","653","successfulLoginTest","Parallel Test Suite","Tue Mar 03 20:18:26 UTC 2026","passed","Tue Mar 03 20:18:26 UTC 2026","com.lando.tests.LoginTest","Login Chrome test","com.lando.tests.LoginTest","successfulLoginTest"
"","735","invalidLoginTest","Parallel Test Suite","Tue Mar 03 20:18:25 UTC 2026","passed","Tue Mar 03 20:18:26 UTC 2026","com.lando.tests.LoginTest","Login Firefox test","com.lando.tests.LoginTest","invalidLoginTest"
