"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","726","invalidLoginTest","Parallel Test Suite","Tue Mar 03 21:03:23 UTC 2026","passed","Tue Mar 03 21:03:23 UTC 2026","com.lando.tests.LoginTest","Login Chrome test","com.lando.tests.LoginTest","invalidLoginTest"
"","10742","checkoutTest","Parallel Test Suite","Tue Mar 03 21:03:27 UTC 2026","broken","Tue Mar 03 21:03:37 UTC 2026","com.lando.tests.CheckoutTest","Checkout Chrome test","com.lando.tests.CheckoutTest","checkoutTest"
"","635","successfulLoginTest","Parallel Test Suite","Tue Mar 03 21:03:25 UTC 2026","passed","Tue Mar 03 21:03:25 UTC 2026","com.lando.tests.LoginTest","Login Chrome test","com.lando.tests.LoginTest","successfulLoginTest"
"","985","checkoutTest","Parallel Test Suite","Tue Mar 03 21:03:32 UTC 2026","passed","Tue Mar 03 21:03:33 UTC 2026","com.lando.tests.CheckoutTest","Checkout Firefox test","com.lando.tests.CheckoutTest","checkoutTest"
"","528","successfulLoginTest","Parallel Test Suite","Tue Mar 03 21:03:28 UTC 2026","passed","Tue Mar 03 21:03:29 UTC 2026","com.lando.tests.LoginTest","Login Firefox test","com.lando.tests.LoginTest","successfulLoginTest"
"","763","invalidLoginTest","Parallel Test Suite","Tue Mar 03 21:03:24 UTC 2026","passed","Tue Mar 03 21:03:25 UTC 2026","com.lando.tests.LoginTest","Login Firefox test","com.lando.tests.LoginTest","invalidLoginTest"
