"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","927","invalidLoginTest","Parallel Test Suite","Tue Mar 03 20:22:58 UTC 2026","passed","Tue Mar 03 20:22:59 UTC 2026","com.lando.tests.LoginTest","Login Chrome test","com.lando.tests.LoginTest","invalidLoginTest"
"","434","successfulLoginTest","Parallel Test Suite","Tue Mar 03 20:23:04 UTC 2026","passed","Tue Mar 03 20:23:05 UTC 2026","com.lando.tests.LoginTest","Login Firefox test","com.lando.tests.LoginTest","successfulLoginTest"
"","984","checkoutTest","Parallel Test Suite","Tue Mar 03 20:23:07 UTC 2026","passed","Tue Mar 03 20:23:08 UTC 2026","com.lando.tests.CheckoutTest","Checkout Firefox test","com.lando.tests.CheckoutTest","checkoutTest"
"","684","successfulLoginTest","Parallel Test Suite","Tue Mar 03 20:23:00 UTC 2026","passed","Tue Mar 03 20:23:01 UTC 2026","com.lando.tests.LoginTest","Login Chrome test","com.lando.tests.LoginTest","successfulLoginTest"
"","10804","checkoutTest","Parallel Test Suite","Tue Mar 03 20:23:02 UTC 2026","broken","Tue Mar 03 20:23:13 UTC 2026","com.lando.tests.CheckoutTest","Checkout Chrome test","com.lando.tests.CheckoutTest","checkoutTest"
"","738","invalidLoginTest","Parallel Test Suite","Tue Mar 03 20:23:00 UTC 2026","passed","Tue Mar 03 20:23:01 UTC 2026","com.lando.tests.LoginTest","Login Firefox test","com.lando.tests.LoginTest","invalidLoginTest"
