"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","909","checkoutTest","Parallel Test Suite","Thu Feb 26 15:34:45 UTC 2026","passed","Thu Feb 26 15:34:46 UTC 2026","com.lando.tests.CheckoutTest","Checkout Firefox test","com.lando.tests.CheckoutTest","checkoutTest"
"","595","successfulLoginTest","Parallel Test Suite","Thu Feb 26 15:34:38 UTC 2026","passed","Thu Feb 26 15:34:38 UTC 2026","com.lando.tests.LoginTest","Login Chrome test","com.lando.tests.LoginTest","successfulLoginTest"
"","678","successfulLoginTest","Parallel Test Suite","Thu Feb 26 15:34:41 UTC 2026","passed","Thu Feb 26 15:34:42 UTC 2026","com.lando.tests.LoginTest","Login Firefox test","com.lando.tests.LoginTest","successfulLoginTest"
"","1098","invalidLoginTest","Parallel Test Suite","Thu Feb 26 15:34:37 UTC 2026","passed","Thu Feb 26 15:34:38 UTC 2026","com.lando.tests.LoginTest","Login Firefox test","com.lando.tests.LoginTest","invalidLoginTest"
"","882","invalidLoginTest","Parallel Test Suite","Thu Feb 26 15:34:36 UTC 2026","passed","Thu Feb 26 15:34:37 UTC 2026","com.lando.tests.LoginTest","Login Chrome test","com.lando.tests.LoginTest","invalidLoginTest"
"","10781","checkoutTest","Parallel Test Suite","Thu Feb 26 15:34:40 UTC 2026","broken","Thu Feb 26 15:34:51 UTC 2026","com.lando.tests.CheckoutTest","Checkout Chrome test","com.lando.tests.CheckoutTest","checkoutTest"
